Type,Quartier,Price,Area,Rooms,Bedrooms,Bathrooms,Status
Appartement,Hay Mohammadi,,104,4,3,2,Nouveau
Appartement,Founti,2500000,190,4,3,2,Bon état
Appartement,Hay Salam,520000,61,3,3,1,Bon état
Appartement,Hay Mohammadi,540000,64,1,2,1,Bon état
Appartement,Hay Mohammadi,890000,78,3,1,1,Bon état
Villa,Ben Serguaou,4500000,338,5,4,4,Nouveau
Appartement,Hay Mohammadi,1250000,79,3,2,2,Nouveau
Appartement,Haut Founty,1310000,84,3,2,1,Nouveau
Maison,Haut Anza,1400000,297,2,5,4,Bon état
Appartement,Hay Mohammadi,,71,1,2,1,Nouveau
Appartement,Riad Salam,1400000,102,6,5,2,Bon état
Maison,Taddart Anza,1400000,297,2,5,4,Bon état
Maison,Haut Anza,960000,203,2,5,3,Nouveau
Appartement,Hay Salam,580000,60,3,2,1,Bon état
Villa,Founti,4400000,218,5,3,3,Bon état
Appartement,Hay Salam,690000,64,3,2,1,Bon état
Maison,Talborjt,230000,70,4,3,3,Bon état
Villa,Siusse,12880000,644,4,6,3,À rénover
Appartement,Hay Mohammadi,,116,2,3,2,Nouveau
Appartement,Al Wifaq,1200000,105,1,2,2,Bon état
Appartement,Hay Houda,1700000,117,4,3,2,Nouveau
Appartement,Hay Mohammadi,1000000,94,3,2,2,Bon état
Villa,Charaf,,210,2,3,3,Bon état
Appartement,Hay Mohammadi,1080000,100,6,3,1,Bon état
Maison,Talborjt,,60,5,4,4,Nouveau
Maison,Bouargane,1800000,150,4,11,3,Bon état
Appartement,Haut Founty,1700000,110,3,2,1,Nouveau
Appartement,Haut Founty,1300000,81,3,2,1,Nouveau
Appartement,Hay Salam,580000,69,4,2,1,Bon état
Appartement,Hay Mohammadi,600000,60,4,2,1,Bon état
Appartement,Haut Anza,700000,110,3,2,2,Nouveau
Appartement,Hay Mohammadi,899000,110,4,2,2,Nouveau
Maison,Haut Anza,980000,203,2,5,3,Bon état
Appartement,Tilila,,54,2,2,1,À rénover
Appartement,Founti,230000,77,1,2,2,Bon état
Appartement,Tilila,,78,2,1,1,Nouveau
Appartement,Abattoirs,1600000,114,4,3,2,Bon état
Appartement,Ihchach,,60,2,2,1,Bon état
Appartement,Hay Salam,680000,71,3,2,2,Bon état
Appartement,Ville Nouvelle,,147,6,2,2,Bon état
Appartement,Haut Founty,1350000,85,3,2,2,Nouveau
Appartement,Riad Salam,950000,110,3,2,2,Bon état
Appartement,Founti,1900000,89,3,2,1,Bon état
Appartement,Hay Dakhla,,70,3,2,1,Bon état
Appartement,Hay Mohammadi,900000,87,3,2,2,Bon état
Appartement,Hay Salam,530000,70,3,2,1,Bon état
Appartement,Extension Dakhla,,123,4,3,1,Bon état
Appartement,Hay Salam,650000,52,2,2,1,Bon état
Appartement,Taddart,,600,1,7,4,Bon état
Maison,Taddart,,600,1,7,4,Bon état
Appartement,Haut Founty,1287000,78,1,2,1,Nouveau
Appartement,Extension Dakhla,850000,113,3,2,2,Bon état
Villa,Charaf,2200000,120,6,4,2,Bon état
Maison,Al Wifaq,2700000,126,4,8,4,Bon état
Appartement,Hay Salam,,60,3,2,1,Bon état
Appartement,Amicales,1530000,100,3,3,2,Bon état
Villa,Ville Nouvelle,,520,5,5,3,Bon état
Appartement,Cité Adrar,750000,77,3,2,1,Bon état
Maison,Hay Houda,1700000,67,15,4,6,Bon état
Appartement,Cité Adrar,700000,70,1,2,2,Bon état
Appartement,Hay Mohammadi,1700000,139,5,4,3,Bon état
Appartement,Hay Salam,620000,78,3,2,1,Bon état
Appartement,Riad Salam,756000,80,6,2,1,Bon état
Appartement,Haut Founty,,83,4,2,1,Nouveau
Appartement,Hay Mohammadi,,78,1,2,1,Nouveau
Maison,Bouargane,,58,4,4,2,Bon état
Appartement,Secteur Touristique,2600000,100,3,2,2,Bon état
Appartement,Hay Houda,1300000,64,1,1,1,Nouveau
Appartement,Hay Mohammadi,2000000,160,5,3,2,Bon état
Maison,Tilila,2900000,112,13,5,3,Bon état
Maison,Tilila,3500000,110,3,6,3,Nouveau
Maison,Amicales,1460000,108,5,4,2,À rénover
Appartement,Taddart Anza,460000,60,5,2,2,Nouveau
Appartement,Tilila,,150,1,1,1,Nouveau
Villa,Founti,4500000,330,3,5,3,Bon état
Villa,Founti,6500000,270,9,5,4,Bon état
Appartement,Zone Industrielle Agadir,,87,3,2,2,Bon état
Maison,Cité Adrar,1200000,64,3,3,1,Nouveau
Maison,Tilila,3000000,112,3,3,2,Nouveau
Appartement,Tilila,840000,78,3,3,2,Nouveau
Appartement,Anahda,920000,76,3,2,1,À rénover
Appartement,Tilila,13900,114,5,3,2,Nouveau
Appartement,Cité Adrar,350000,52,3,3,1,Nouveau
Maison,Hay Salam,2000000,84,3,3,2,Nouveau
Appartement,Hay Salam,600000,52,3,3,1,Nouveau
Maison,Cité Adrar,2000000,96,3,3,2,Nouveau
Maison,Tikiouine,,120,2,3,2,Bon état
Appartement,Hay Houda,1030000,80,3,2,1,Bon état
Maison,Amicales,1460000,106,6,4,2,À rénover
Maison,Ben Serguaou,1018340,300,1,7,4,Bon état
Appartement,Secteur Touristique,350000,140,1,2,2,Nouveau
Appartement,Hay Mohammadi,1050000,88,4,3,2,Bon état
Appartement,Haut Founty,1170000,109,3,2,1,Nouveau
Appartement,Hay Salam,,56,2,3,1,Bon état
Appartement,Hay Salam,910000,100,6,2,2,Bon état
Appartement,Tikiouine,450000,70,4,3,2,Nouveau
Appartement,Abattoirs,1700000,114,3,3,2,Nouveau
Appartement,Haut Anza,300000,60,3,2,1,Bon état
Villa,Talborjt,450000,220,8,4,3,Bon état
Appartement,Hay Houda,900000,105,3,2,2,Bon état
Appartement,Hay Houda,900000,90,6,2,2,Bon état
Appartement,Extension Dakhla,969000,76,3,2,2,Bon état
Appartement,Charaf,1200000,94,1,2,2,Bon état
Appartement,Hay Mohammadi,800000,50,2,1,1,Nouveau
Appartement,Hay Salam,900000,62,1,2,1,Bon état
Villa,Illigh,6800000,380,14,5,5,Bon état
Appartement,Tilila,750000,62,6,2,2,Nouveau
Maison,Extension Dakhla,1360000,75,4,4,2,Bon état
Appartement,Tilila,,68,3,2,1,Nouveau
Appartement,Secteur Touristique,,200,7,4,2,Bon état
Appartement,Amicales,1200000,80,5,2,1,Bon état
Maison,Hay Hassani,,81,5,9,6,Nouveau
Appartement,Hay Mohammadi,490000,70,4,2,1,Bon état
Villa,Founti,4000000,300,3,4,2,Bon état
Appartement,Tikiouine,,70,7,7,3,Bon état
Appartement,Hay Houda,950000,70,1,2,2,Bon état
Appartement,Hay Mohammadi,,80,1,2,2,Nouveau
Maison,Hay Massira,520000,82,1,4,2,Bon état
Appartement,Hay Salam,,64,3,2,1,Nouveau
Appartement,Hay Mohammadi,1950000,172,4,3,3,Nouveau
Appartement,Hay Houda,920000,105,6,2,2,Bon état
Appartement,Lekhiam,,117,1,3,2,Bon état
Appartement,Hay Houda,700000,70,2,3,2,Bon état
Maison,Bouargane,400000,100,1,5,2,À rénover
Appartement,Haut Founty,1328000,85,2,2,2,Nouveau
Maison,Hay Salam,2300000,96,9,6,4,Bon état
Appartement,Hay Mohammadi,380000,56,1,3,1,Bon état
Appartement,Extension Dakhla,4200000,432,1,8,4,Bon état
Appartement,Hay Houda,680000,65,3,2,1,Bon état
Maison,Tikiouine,1950000,75,6,6,3,Nouveau
Villa,Illigh,13000000,629,5,4,4,Bon état
Appartement,Amsernate,620000,68,1,2,2,Bon état
Appartement,Hay Salam,,80,1,2,1,Bon état
Appartement,Hay Houda,700000,67,3,2,2,Bon état
Maison,Hay Al Wafaa,500000,153,14,14,8,Bon état
Appartement,Hay Mohammadi,,50,1,2,1,Bon état
Appartement,Talborjt,1550000,100,4,2,2,Bon état
Villa,Founti,3700000,166,6,5,4,Bon état
Appartement,Secteur Touristique,,91,2,2,1,Bon état
Appartement,Secteur Touristique,2950000,128,1,2,2,Nouveau
Appartement,Secteur Touristique,3600000,117,3,3,1,Nouveau
Villa,Haut Founty,,136,12,6,5,Nouveau
Appartement,Hay Mohammadi,370000,52,3,3,1,Nouveau
Appartement,Haut Founty,3700000,134,5,4,2,Nouveau
Appartement,Hay Mohammadi,620000,58,3,2,1,Nouveau
Appartement,Hay Salam,880000,81,3,2,1,Bon état
Maison,Boutchakat,2500000,210,6,3,2,Bon état
Appartement,Founti,180000,89,1,2,2,Bon état
Appartement,Zone Industrielle Agadir,1357000,192,3,2,2,Nouveau
Maison,Ben Serguaou,1800000,110,7,5,4,À rénover
Appartement,Hay Mohammadi,1100000,96,3,3,2,Nouveau
Appartement,Hay Mohammadi,960000,96,2,2,2,Bon état
Appartement,Port,2100000,124,5,2,2,Nouveau
Appartement,Boutchakat,1260000,96,1,3,2,Bon état
Appartement,Port,2200000,130,5,2,2,Bon état
Appartement,Hay Salam,,100,3,4,2,Nouveau
Appartement,Hay Mohammadi,1100000,71,4,2,1,Bon état
Appartement,Al Wifaq,1150000,89,2,2,1,Nouveau
Appartement,Haut Anza,560000,64,5,2,2,Nouveau
Appartement,Hay Dakhla,650000,70,3,2,1,Bon état
Villa,Secteur Touristique,4900000,240,7,6,4,Bon état
Appartement,Secteur Touristique,3250000,150,4,3,2,Bon état
Appartement,Hay Dakhla,900000,150,3,2,2,Bon état
Maison,Tilila,7000,300,4,4,4,Bon état
Appartement,Hay Dakhla,1750000,173,6,3,2,Bon état
Appartement,Hay Houda,,81,1,2,2,Bon état
Villa,Hay Najah,3900000,315,8,5,4,Nouveau
Appartement,Taddart Anza,680000,128,5,3,2,Nouveau
Appartement,Hay Mohammadi,740000,70,4,2,1,Nouveau
Appartement,Lekhiam,,100,2,2,2,Nouveau
Appartement,Zone Industrielle Agadir,900000,107,4,2,2,Nouveau
Appartement,Cité Adrar,7500000,84,3,2,1,Bon état
Appartement,Riad Salam,1480000,94,4,3,2,Nouveau
Maison,Al Wifaq,3500000,170,4,4,2,Nouveau
Maison,Ben Serguaou,2600000,126,3,3,2,Nouveau
Appartement,Hay Mohammadi,660000,55,2,2,1,Nouveau
Appartement,Tilila,780000,70,3,2,1,Bon état
Appartement,Hay Mohammadi,,80,2,2,2,Bon état
Appartement,Hay Mohammadi,,71,1,2,2,Nouveau
Appartement,Haut Founty,700000,66,2,1,1,Nouveau
Appartement,Hay Mohammadi,850000,93,3,2,2,Bon état
Appartement,Hay Mohammadi,,94,1,2,2,Bon état
Appartement,Hay Mohammadi,420000,50,1,2,1,Bon état
Appartement,Hay Mohammadi,530000,52,3,2,1,Bon état
Appartement,Anza,1400000,95,3,3,2,Nouveau
Maison,Hay Dakhla,2400000,170,2,5,2,À rénover
Appartement,Hay Houda,,98,3,3,2,Nouveau
Appartement,Hay Mohammadi,,127,2,3,2,Nouveau
Appartement,Ville Nouvelle,600000,60,2,2,2,Bon état
Appartement,Hay Salam,900000,76,3,2,1,Nouveau
